BlogNum,StoryTitle,StoryURL,StoryPublishDate,StoryCounty,FocusAreaID,FocusAreaName,PillarID,PillarName,MatchRationale
4,How NCDPI’s Office of Research & Promising Practices Turns Evidence into Action,https://www.dpi.nc.gov/blog/2025/09/17/how-ncdpis-office-research-promising-practices-turns-evidence-action,2025-09-17 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,"Chronic absenteeism discussed as a research focus, a named P4.F2 action"
4,How NCDPI’s Office of Research & Promising Practices Turns Evidence into Action,https://www.dpi.nc.gov/blog/2025/09/17/how-ncdpis-office-research-promising-practices-turns-evidence-action,2025-09-17 00:00:00,,P5.F3,Modernize NCDPI and PSU operations,P5,Strengthen NCDPI Leadership and Support Services,Data framework and analytics align with NCDPI data/analytics modernization
5,NCDPI Marks Attendance Awareness Month with Plan to Help Schools Reduce Chronic Absenteeism,https://www.dpi.nc.gov/blog/2025/09/23/ncdpi-marks-attendance-awareness-month-plan-help-schools-reduce-chronic-absenteeism,2025-09-23 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Chronic absenteeism reduction is a named action under P4.F2
6,"One Year After Helene: Resilience, Step by Step",https://www.dpi.nc.gov/blog/2025/09/30/one-year-after-helene-resilience-step-step,2025-09-30 00:00:00,Haywood,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Staff wellness and mental health support align with staff health/well-being
6,"One Year After Helene: Resilience, Step by Step",https://www.dpi.nc.gov/blog/2025/09/30/one-year-after-helene-resilience-step-step,2025-09-30 00:00:00,Haywood,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Schools as community support systems during disaster recovery
7,One Year After Helene: From Checkmarks to Tomorrows,https://www.dpi.nc.gov/blog/2025/10/02/one-year-after-helene-checkmarks-tomorrows,2025-10-02 00:00:00,Buncombe,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Schools as lifelines for community healing exemplifies PSU-community bridge
7,One Year After Helene: From Checkmarks to Tomorrows,https://www.dpi.nc.gov/blog/2025/10/02/one-year-after-helene-checkmarks-tomorrows,2025-10-02 00:00:00,Buncombe,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Community healing aligns with whole school/community well-being model
8,Meet North Carolina’s Principal of the Year,https://www.dpi.nc.gov/blog/2025/10/08/meet-north-carolinas-principal-year,2025-10-08 00:00:00,Orange,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,Principal of the Year recognition is a named action under P2.F4
8,Meet North Carolina’s Principal of the Year,https://www.dpi.nc.gov/blog/2025/10/08/meet-north-carolinas-principal-year,2025-10-08 00:00:00,Orange,P2.F3,Increase educator compensation,P2,Invest in Educators,Blog explicitly discusses advocacy for educator compensation
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,CTE at 36% participation is a rigorous career pathway
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,"Early college, Farm to School, and workforce development reimagine student experience"
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Workforce development and career readiness support life-ready graduates
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Farm to School is a community/business partnership supporting schools
10,"This College Application Week, Direct Admission is Waiting for About 70,000 Students",https://www.dpi.nc.gov/blog/2025/10/16/college-application-week-direct-admission-waiting-about-70000-students,2025-10-16 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,NC College Connect and direct admission are named actions under P1.F4
10,"This College Application Week, Direct Admission is Waiting for About 70,000 Students",https://www.dpi.nc.gov/blog/2025/10/16/college-application-week-direct-admission-waiting-about-70000-students,2025-10-16 00:00:00,,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,"College spots for 70,000 seniors is a direct postsecondary launch mechanism"
11,"Supporting Agriculture, Nutrition and Health",https://www.dpi.nc.gov/blog/2025/10/28/supporting-agriculture-nutrition-and-health,2025-10-28 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,School nutrition directly aligns with student health actions under P4.F2
11,"Supporting Agriculture, Nutrition and Health",https://www.dpi.nc.gov/blog/2025/10/28/supporting-agriculture-nutrition-and-health,2025-10-28 00:00:00,,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Farm-to-School partnerships are community/business partnerships
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"Advanced manufacturing, healthcare CTE are rigorous career/academic pathways"
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Zoo School experiential learning reimagines the student experience
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P6.F1,Transform schools through research and development,P6,Foster Innovation and Continuous Improvement,Global Innovation Center and Zoo School are innovative school practices
13,Meet the High School Senior Helping Shape NC’s Education Policy,https://www.dpi.nc.gov/blog/2025/11/04/meet-high-school-senior-helping-shape-ncs-education-policy,2025-11-04 00:00:00,Wake,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student advisor shaping State Board policy reimagines student voice
14,BCS Parent University Helps Families Learn the ABCs of School Operations,https://www.dpi.nc.gov/blog/2025/11/06/bcs-parent-university-helps-families-learn-abcs-school-operations,2025-11-06 00:00:00,Buncombe,P3.F1,Engage and empower families,P3,Engage and Empower Families and Communities,Parent University is a direct family engagement initiative
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"STEM, robotics, CTE, and AVID are rigorous academic and career pathways"
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,STEM and digital learning tools align with elevating teaching
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P2.F2,Expand career pathways for education professionals,P2,Invest in Educators,Teacher Advisory Councils represent teacher leadership pathways
16,Empowering Futures: Celebrating Career Development Month and North Carolina’s Career Development Coordinator Day,https://www.dpi.nc.gov/blog/2025/11/19/empowering-futures-celebrating-career-development-month-and-north-carolinas-career-developmentt,2025-11-19 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"550,000+ CTE participants with 98% graduation rate"
16,Empowering Futures: Celebrating Career Development Month and North Carolina’s Career Development Coordinator Day,https://www.dpi.nc.gov/blog/2025/11/19/empowering-futures-celebrating-career-development-month-and-north-carolinas-career-developmentt,2025-11-19 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Career development coordinators are a named P1.F4 action
16,Empowering Futures: Celebrating Career Development Month and North Carolina’s Career Development Coordinator Day,https://www.dpi.nc.gov/blog/2025/11/19/empowering-futures-celebrating-career-development-month-and-north-carolinas-career-developmentt,2025-11-19 00:00:00,,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Work-based learning directly launches life-ready graduates
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Early college with diploma + associate degree is a rigorous pathway
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Legal internship and Teen Court are career development experiences
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Diploma + associate degree + internship = life-ready graduate
18,Meet the State Superintendent’s Student Advisory Council,https://www.dpi.nc.gov/blog/2025/11/24/meet-state-superintendents-student-advisory-council,2025-11-24 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student advisory council giving students policy voice reimagines student experience
18,Meet the State Superintendent’s Student Advisory Council,https://www.dpi.nc.gov/blog/2025/11/24/meet-state-superintendents-student-advisory-council,2025-11-24 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Mental health named as a student advisory council priority
19,Student Media Spotlight: The Green Hope Falcon Soars to Great Heights,https://www.dpi.nc.gov/blog/2025/12/04/student-media-spotlight-green-hope-falcon-soars-great-heights,2025-12-04 00:00:00,Wake,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student newspaper is an arts/leadership extracurricular under P1.F4
19,Student Media Spotlight: The Green Hope Falcon Soars to Great Heights,https://www.dpi.nc.gov/blog/2025/12/04/student-media-spotlight-green-hope-falcon-soars-great-heights,2025-12-04 00:00:00,Wake,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Student journalism and UNC pipeline represent durable skills
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,College-going culture and experiential learning reimagine student experience
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Career/college prep pathways are rigorous academic pathways
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,College-going culture launches life-ready graduates
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,CTE and dual enrollment are rigorous career/academic pathways
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P2.F1,Improve educator recruitment and retention,P2,Invest in Educators,UNC Pembroke teacher prep is a direct educator recruitment pipeline
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Workforce development with AWS supports life-ready graduates
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,AWS and UNC Pembroke are business/higher-ed community partnerships
22,Future Jr. Chefs: Five High School Teams Set to Compete in 2026 Competition,https://www.dpi.nc.gov/blog/2025/12/16/future-jr-chefs-five-high-school-teams-set-compete-2026-competition,2025-12-16 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,Jr. Chef Competition is CTE culinary arts
22,Future Jr. Chefs: Five High School Teams Set to Compete in 2026 Competition,https://www.dpi.nc.gov/blog/2025/12/16/future-jr-chefs-five-high-school-teams-set-compete-2026-competition,2025-12-16 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Nutritious school lunches support student health
23,Hands-On Bike Safety Brings Enka High and Enka Intermediate Students Together,https://www.dpi.nc.gov/blog/2025/12/17/hands-bike-safety-brings-enka-high-and-enka-intermediate-students-together,2025-12-17 00:00:00,Buncombe,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Portrait of a Graduate skills are durable skills for life readiness
23,Hands-On Bike Safety Brings Enka High and Enka Intermediate Students Together,https://www.dpi.nc.gov/blog/2025/12/17/hands-bike-safety-brings-enka-high-and-enka-intermediate-students-together,2025-12-17 00:00:00,Buncombe,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,Bike safety unit aligns with physical activity promotion under P4.F2
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,CTE and dual language immersion are rigorous pathways
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P2.F1,Improve educator recruitment and retention,P2,Invest in Educators,Appalachian State teacher prep is a direct pipeline initiative
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Teacher prep partnership and community rebuilding are partnerships
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,Teachers/Principals of the Year recognition actions under P2.F4
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P1.F1,Ignite early learning,P1,Prepare Each Student for Their Next Phase in Life,Early literacy explicitly mentioned as a point of pride
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,STEM and arts integration are elevated teaching approaches
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Student belonging and arts integration represent reimagined experiences
26,2026 New Year's Resolutions,https://www.dpi.nc.gov/blog/2025/12/31/2026-new-years-resolutions,2025-12-31 00:00:00,,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,Educators sharing resolutions elevates professional pride
26,2026 New Year's Resolutions,https://www.dpi.nc.gov/blog/2025/12/31/2026-new-years-resolutions,2025-12-31 00:00:00,,P8.F1,Build community voices,P8,Build Community Advocacy,Educators articulating advocacy resolutions builds community voices
27,Celebrating Award-Winning School and Summer Nutrition Programs,https://www.dpi.nc.gov/blog/2026/01/08/celebrating-award-winning-school-and-summer-nutrition-programs,2026-01-08 00:00:00,,P4.F2,Improve student and staff health and well-being,P4,Support Student Health and Well-Being,"School nutrition serving 850,000+ students supports student health"
27,Celebrating Award-Winning School and Summer Nutrition Programs,https://www.dpi.nc.gov/blog/2026/01/08/celebrating-award-winning-school-and-summer-nutrition-programs,2026-01-08 00:00:00,,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,"Boys & Girls Clubs, food banks, YMCAs are community partners"
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P1.F2,Elevate teaching and learning,P1,Prepare Each Student for Their Next Phase in Life,"Place-based, inquiry-driven history instruction is elevated teaching"
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P1.F5,Launch life-ready graduates,P1,Prepare Each Student for Their Next Phase in Life,Civic engagement and service learning are named P1.F5 actions
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P3.F2,Strengthen community partnerships,P3,Engage and Empower Families and Communities,Local civil rights stories are classroom-community partnership
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P2.F4,Elevate and restore pride in the education profession,P2,Invest in Educators,National History Teacher recognition elevates the profession
29,From Bus Driver to EC Teacher,https://www.dpi.nc.gov/blog/2026/01/20/bus-driver-ec-teacher,2026-01-20 00:00:00,Union,P2.F1,Improve educator recruitment and retention,P2,Invest in Educators,Alternative pathways and grow-your-own are named teacher pipeline actions
29,From Bus Driver to EC Teacher,https://www.dpi.nc.gov/blog/2026/01/20/bus-driver-ec-teacher,2026-01-20 00:00:00,Union,P2.F2,Expand career pathways for education professionals,P2,Invest in Educators,Bus driver to EC teacher is a literal career pathway in education
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P1.F3,Promote excellence for all,P1,Prepare Each Student for Their Next Phase in Life,"Charter, early college, CTE with 160+ credentials are rigorous pathways"
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P1.F4,Reimagine the student experience,P1,Prepare Each Student for Their Next Phase in Life,Helping families find the right school fit reimagines student experience
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P3.F1,Engage and empower families,P3,Engage and Empower Families and Communities,Campaign targets families to navigate educational options
25,2025 Points of Pride,https://www.dpi.nc.gov/blog/2025/12/23/2025-points-pride,2025-12-23 00:00:00,,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Points of Pride blog IS a success-stories narrative about NC public schools (P7.F3.A1)
30,"Find Your Fit, Build Your Future in NC Public Schools",https://www.dpi.nc.gov/blog/2026/01/27/find-your-fit-build-your-future-nc-public-schools,2026-01-27 00:00:00,,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Campaign highlighting diverse pathways IS sharing positive public education messaging (P7.F3.A2)
26,2026 New Year's Resolutions,https://www.dpi.nc.gov/blog/2025/12/31/2026-new-years-resolutions,2025-12-31 00:00:00,,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Educators sharing positive resolutions IS uplifting positive narratives about public education (P7.F3.A1)
3,"NC’s Teacher of the Year is an AVID educator, advocate for rural schools and a Swiftie",https://www.dpi.nc.gov/blog/2025/08/28/ncs-teacher-year-avid-educator-advocate-rural-schools-and-swiftie,2025-08-28 00:00:00,Pitt,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Teacher of the Year profile IS a success story about a public school educator (P7.F3.A1)
8,Meet North Carolina’s Principal of the Year,https://www.dpi.nc.gov/blog/2025/10/08/meet-north-carolinas-principal-year,2025-10-08 00:00:00,Orange,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Principal of the Year profile IS a success story about a public school leader (P7.F3.A1)
17,From Early College to Legal Intern,https://www.dpi.nc.gov/blog/2025/11/20/early-college-legal-intern,2025-11-20 00:00:00,Nash,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Student early college success story IS a positive narrative about NC public schools (P7.F3.A1)
29,From Bus Driver to EC Teacher,https://www.dpi.nc.gov/blog/2026/01/20/bus-driver-ec-teacher,2026-01-20 00:00:00,Union,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,Bus-driver-to-teacher story IS a positive narrative about the public education profession (P7.F3.A1)
28,From Classroom to Community: A National History Teacher’s Journey,https://www.dpi.nc.gov/blog/2026/01/14/classroom-community-national-history-teachers-journey,2026-01-14 00:00:00,Rockingham,P7.F3,Share public education messaging and stories,P7,Advance Public Education Communications,National History Teacher of the Year IS a success story celebrating public education (P7.F3.A1)
9,Celebrating CTE and Spotlighting Innovation in the Southeast,https://www.dpi.nc.gov/blog/2025/10/14/celebrating-cte-and-spotlighting-innovation-southeast,2025-10-14 00:00:00,"New Hanover, Carteret",P6.F2,Connect NC public schools through education networks,P6,Foster Innovation and Continuous Improvement,"Southeast tour connects schools across regions, showcasing practices for cross-PSU learning (P6.F2.A1)"
12,Exploring Endless Opportunities – and a Zoo School – in the Piedmont Triad,https://www.dpi.nc.gov/blog/2025/10/30/exploring-endless-opportunities-and-zoo-school-piedmont-triad,2025-10-30 00:00:00,"Davidson, Alamance-Burlington, Guilford",P6.F2,Connect NC public schools through education networks,P6,Foster Innovation and Continuous Improvement,"Piedmont Triad tour connects schools across districts, sharing innovations (P6.F2.A1)"
15,The Northeast: Where Our Roots Run Deep,https://www.dpi.nc.gov/blog/2025/11/13/northeast-where-our-roots-run-deep,2025-11-13 00:00:00,"Pitt, Hertford, Perquimans",P6.F2,Connect NC public schools through education networks,P6,Foster Innovation and Continuous Improvement,"Northeast tour connects rural schools, sharing STEM and CTE practices across counties (P6.F2.A1)"
20,Commitment and Culture Shine in the North Central Region,https://www.dpi.nc.gov/blog/2025/12/09/commitment-and-culture-shine-north-central-region,2025-12-09 00:00:00,"Edgecombe, Orange",P6.F2,Connect NC public schools through education networks,P6,Foster Innovation and Continuous Improvement,"North Central tour connects schools, sharing college-going and experiential learning (P6.F2.A1)"
21,Sandhills Shines Through the Rain,https://www.dpi.nc.gov/blog/2025/12/11/sandhills-shines-through-rain,2025-12-11 00:00:00,"Columbus, Scotland, Richmond, Robeson",P6.F2,Connect NC public schools through education networks,P6,Foster Innovation and Continuous Improvement,Sandhills tour connects schools with partnerships like AWS and UNC Pembroke (P6.F2.A1)
24,Symbols of Resilience in the Northwest,https://www.dpi.nc.gov/blog/2025/12/19/symbols-resilience-northwest,2025-12-19 00:00:00,"Caldwell, Watauga, Mitchell ",P6.F2,Connect NC public schools through education networks,P6,Foster Innovation and Continuous Improvement,"Northwest tour connects schools, sharing CTE and dual language across counties (P6.F2.A1)"
14,BCS Parent University Helps Families Learn the ABCs of School Operations,https://www.dpi.nc.gov/blog/2025/11/06/bcs-parent-university-helps-families-learn-abcs-school-operations,2025-11-06 00:00:00,Buncombe,P8.F2,Promote engagement initiatives,P8,Build Community Advocacy,Parent University is a district family engagement initiative matching P8.F2.A2 toolkits goal
1,Achieving Educational Excellence,https://www.dpi.nc.gov/blog/2025/08/20/achieving-educational-excellence,2025-08-20 00:00:00,,P7.F1,Develop comprehensive public education messaging,P7,Advance Public Education Communications,Strategic plan unveiling IS comprehensive public education messaging developed through listening tour (P7.F1.A3)
13,Meet the High School Senior Helping Shape NC’s Education Policy,https://www.dpi.nc.gov/blog/2025/11/04/meet-high-school-senior-helping-shape-ncs-education-policy,2025-11-04 00:00:00,Wake,P8.F3,Move champions to action,P8,Build Community Advocacy,Student advisor to State Board is directly engaging policymakers on education (P8.F3.A1)
